tiempo,temperatura,derivada_centrada,derivada_adelante,estado,alerta,camara_id,camara_nombre,producto,ubicacion
0,6.49,,-0.214,Inicializando,Cámara alcanzando temperatura objetivo,CAM-02,Cámara 2,Pollo,Sector aves
5,5.42,-0.204,-0.194,Inicializando,Cámara alcanzando temperatura objetivo,CAM-02,Cámara 2,Pollo,Sector aves
10,4.45,-0.159,-0.124,Inicializando,Cámara alcanzando temperatura objetivo,CAM-02,Cámara 2,Pollo,Sector aves
15,3.83,-0.12,-0.116,Inicializando,Cámara alcanzando temperatura objetivo,CAM-02,Cámara 2,Pollo,Sector aves
20,3.25,-0.102,-0.088,Estado normal,Funcionamiento normal,CAM-02,Cámara 2,Pollo,Sector aves
25,2.81,0.01,0.108,Estado normal,Funcionamiento normal,CAM-02,Cámara 2,Pollo,Sector aves
30,3.35,0.082,0.056,Estado normal,Funcionamiento normal,CAM-02,Cámara 2,Pollo,Sector aves
35,3.63,0.082,0.108,Estado normal,Funcionamiento normal,CAM-02,Cámara 2,Pollo,Sector aves
40,4.17,0.113,0.118,Alerta crítica,Temperatura por encima del límite permitido,CAM-02,Cámara 2,Pollo,Sector aves
45,4.76,0.108,0.098,Alerta crítica,Temperatura por encima del límite permitido,CAM-02,Cámara 2,Pollo,Sector aves
50,5.25,0.1,0.102,Alerta crítica,Temperatura por encima del límite permitido,CAM-02,Cámara 2,Pollo,Sector aves
55,5.76,-0.071,-0.244,Alerta crítica,Temperatura por encima del límite permitido,CAM-02,Cámara 2,Pollo,Sector aves
60,4.54,-0.2,-0.156,Alerta crítica,Temperatura por encima del límite permitido,CAM-02,Cámara 2,Pollo,Sector aves
65,3.76,-0.126,-0.096,Estado normal,Funcionamiento normal,CAM-02,Cámara 2,Pollo,Sector aves
70,3.28,-0.092,-0.088,Estado normal,Funcionamiento normal,CAM-02,Cámara 2,Pollo,Sector aves
75,2.84,-0.077,-0.066,Estado normal,Funcionamiento normal,CAM-02,Cámara 2,Pollo,Sector aves
80,2.51,-0.038,-0.01,Estado normal,Funcionamiento normal,CAM-02,Cámara 2,Pollo,Sector aves
85,2.46,-0.018,-0.026,Estado normal,Funcionamiento normal,CAM-02,Cámara 2,Pollo,Sector aves
90,2.33,-0.018,-0.01,Estado normal,Funcionamiento normal,CAM-02,Cámara 2,Pollo,Sector aves
95,2.28,,,Estado normal,Funcionamiento normal,CAM-02,Cámara 2,Pollo,Sector aves
