tiempo,temperatura,derivada_centrada,derivada_adelante,estado,alerta,camara_id,camara_nombre,producto,ubicacion
0,6.46,,-0.234,Inicializando,Cámara alcanzando temperatura objetivo,CAM-03,Cámara 3,Embutidos,Sector fiambres
5,5.29,-0.2,-0.166,Inicializando,Cámara alcanzando temperatura objetivo,CAM-03,Cámara 3,Embutidos,Sector fiambres
10,4.46,-0.136,-0.106,Inicializando,Cámara alcanzando temperatura objetivo,CAM-03,Cámara 3,Embutidos,Sector fiambres
15,3.93,-0.104,-0.102,Inicializando,Cámara alcanzando temperatura objetivo,CAM-03,Cámara 3,Embutidos,Sector fiambres
20,3.42,-0.085,-0.068,Estado normal,Funcionamiento normal,CAM-03,Cámara 3,Embutidos,Sector fiambres
25,3.08,-0.072,-0.076,Estado normal,Funcionamiento normal,CAM-03,Cámara 3,Embutidos,Sector fiambres
30,2.7,-0.069,-0.062,Estado normal,Funcionamiento normal,CAM-03,Cámara 3,Embutidos,Sector fiambres
35,2.39,-0.049,-0.036,Estado normal,Funcionamiento normal,CAM-03,Cámara 3,Embutidos,Sector fiambres
40,2.21,-0.036,-0.036,Estado normal,Funcionamiento normal,CAM-03,Cámara 3,Embutidos,Sector fiambres
45,2.03,-0.034,-0.032,Estado normal,Funcionamiento normal,CAM-03,Cámara 3,Embutidos,Sector fiambres
50,1.87,-0.026,-0.02,Estado normal,Funcionamiento normal,CAM-03,Cámara 3,Embutidos,Sector fiambres
55,1.77,0.01,0.04,Estado normal,Funcionamiento normal,CAM-03,Cámara 3,Embutidos,Sector fiambres
60,1.97,0.024,0.008,Estado normal,Funcionamiento normal,CAM-03,Cámara 3,Embutidos,Sector fiambres
65,2.01,0.008,0.008,Estado normal,Funcionamiento normal,CAM-03,Cámara 3,Embutidos,Sector fiambres
70,2.05,-0.01,-0.028,Estado normal,Funcionamiento normal,CAM-03,Cámara 3,Embutidos,Sector fiambres
75,1.91,-0.025,-0.022,Estado normal,Funcionamiento normal,CAM-03,Cámara 3,Embutidos,Sector fiambres
80,1.8,0.001,0.024,Estado normal,Funcionamiento normal,CAM-03,Cámara 3,Embutidos,Sector fiambres
85,1.92,0.019,0.014,Estado normal,Funcionamiento normal,CAM-03,Cámara 3,Embutidos,Sector fiambres
90,1.99,0.008,0.002,Estado normal,Funcionamiento normal,CAM-03,Cámara 3,Embutidos,Sector fiambres
95,2.0,,,Estado normal,Funcionamiento normal,CAM-03,Cámara 3,Embutidos,Sector fiambres
